line num, embedding size, hidden size
0, 2, 1024
1, 4, 1024
2, 8, 1024
3, 16, 1024
4, 32, 1024
5, 64, 1024
6, 128, 1024
7, 256, 1024
8, 512, 1024
9, 1024, 1024
